"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"The Beguiled","2017",6.3,52918,"Drama","R","Sofia Coppola","Nicole Kidman",10709995,3651,229292,"2.1",3651,"2017-01-01","2017-01-01","Not POC","White"
"Marshall","2017",7.3,21390,"Drama","PG-13","Reginald Hudlin","Chadwick Boseman",10051659,2471,3000805,"29.9",2471,"2017-06-01","2017-06-01","Not POC","White"
"The Wife","2017",7.2,35953,"Drama","R","Björn Runge","Glenn Close",9601092,2432,108284,"1.1",2432,"2018-01-01","2018-01-01","Not POC","White"
"Thank You for Your Service","2017",6.5,12640,"Drama","R","Jason Hall","Miles Teller",9536300,2270,3817700,"40",2270,"2017-10-01","2017-10-01","Not POC","White"
"The Death of Stalin","2017",7.2,89083,"Drama","R","Armando Iannucci","Steve Buscemi",8047856,2006,184805,"2.3",2006,"2018-06-01","2018-06-01","Not POC","White"
"The Space Between Us","2017",6.4,48871,"Drama","PG-13","Peter Chelsom","Gary Oldman",7885294,2976,3775596,"47.9",2976,"2017-11-01","2017-11-01","Not POC","White"
"Let There Be Light","2017",4.7,2542,"Drama","PG-13","Kevin Sorbo","Kevin Sorbo",7233471,2837,1729535,"23.9",2837,"2017-02-01","2017-02-01","Not POC","White"
"Beatriz at Dinner","2017",6,9132,"Drama","R","Miguel Arteta","Salma Hayek",7115854,3702,141959,"2",3702,"2017-05-01","2017-05-01","POC","Hispanic"
"Loving Vincent","2017",7.8,51664,"Drama","PG-13","Dorota Kobiela","Hugh Welchman",6735118,2941,23180,"0.3",2941,"2017-10-01","2017-10-01","Not POC","White"
"The Snowman","2017",5.1,59142,"Drama","R","Tomas Alfredson","Michael Fassbender",6700035,2941,3372565,"50.3",2941,"2017-12-01","2017-12-01","Not POC","White"
"Same Kind of Different as Me","2017",6.6,6633,"Drama","PG-13","Michael Carney","Greg Kinnear",6423605,3154,2591985,"40.4",3154,"2017-09-01","2017-09-01","Not POC","White"
"Just Getting Started","2017",4.5,6443,"Drama","PG-13","Ron Shelton","Morgan Freeman",6069605,2515,3201459,"52.7",2515,"2017-12-01","2017-12-01","POC","Black"
"The Florida Project","2017",7.6,97277,"Drama","R","Sean Baker","Brooklynn Prince",5904366,2801,157553,"2.7",2801,"2017-05-01","2017-05-01","Not POC","White"
"All Saints","2017",6.1,1582,"Drama","PG","Steve Gomer","John Corbett",5802208,2801,1514278,"26.1",2801,"2017-07-01","2017-07-01","Not POC","White"
