titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
Frankie,171781,193,19435,11.3,193,2019-02-01,2019-02-01
"Asbury Park: Riot, Redemption, Rock & Roll",167684,105,7437,4.4,105,2019-09-01,2019-09-01
The Bad Guys: The Movie,166972,97,45233,27.1,97,,
Bright Ones,165627,692,165627,100,692,2019-11-01,2019-11-01
Nureyev: Lifting the Curtain,165203,0,6362,3.9,0,,
Sunset,164906,2337,13846,8.4,2337,2019-12-01,2019-12-01
INXS: Baby Live at Wembly Stadium,161750,2337,0,0,2337,2019-01-01,2019-01-01
Monty Python's Life of Brian,161507,767,18005,11.1,767,2019-08-01,2019-08-01
"Diana Ross: Her Life, Love and Legacy",160968,767,0,0,767,,
Varda by Agnès,160765,297,12390,7.7,297,2019-10-01,2019-10-01
Batman,159419,0,159419,100,0,,
Them That Follow,159218,182,13137,8.3,182,2019-12-01,2019-12-01
Money,155732,10,0,0,10,,
The Death & Life of John F. Donovan,152713,76,33340,21.8,76,2019-12-01,2019-12-01
Peterloo,151971,57,26002,17.1,57,,
